Size,GB/s
10000,42.2879
11008,46.8213
12112,51.4175
13328,56.7124
14664,62.3248
16136,68.7828
17752,75.144
19528,83.2418
21488,90.5957
23640,99.8723
26008,110.006
28616,120.776
31480,133.398
34632,147.295
38096,162.032
41912,176.547
46104,193.951
50720,214.591
55800,233.539
61384,250.972
67528,211.422
74288,235.01
81720,260.832
89896,284.068
98888,313.494
108784,344.08
119664,378.538
131632,474.347
144800,532.646
159288,564.302
175224,581.213
192752,611.189
212032,628.04
233240,663.49
256568,677.303
282232,716.362
310456,738.277
341504,591.387
375656,294.464
413224,243.088
454552,241.834
500008,243.36
550016,242.497
605024,240.391
665528,241.011
732088,242.923
805304,244.79
885840,245.329
974432,245.633
1071880,246.38
1179072,247.454
1296984,248.879
1426688,249.414
1569360,249.905
1726304,249.864
1898936,250.171
2088832,250.808
2297720,251.964
2527496,252.64
2780248,253.079
3058280,253.314
3364112,253.694
3700528,254.125
4070584,254.276
4477648,254.303
4925416,254.628
5417960,254.902
5959760,255.259
6555744,255.385
7211320,255.608
7932456,255.431
8725704,255.859
9598280,255.701
10558112,255.889
11613928,255.623
12775328,256.015
14052864,256.236
15458152,255.955
17003968,256.32
18704368,256.256
20574808,256.241
22632296,256.391
24895528,256.432
27385088,256.47
30123600,256.207
33135968,256.52
36449568,256.493
40094528,256.428
44103984,256.693
48514384,256.683
53365824,256.433
58702408,260.486
64572656,262.036
71029928,257.623
78132928,256.668
85946224,256.922
94540848,256.714
103994936,256.773
114394432,256.953
125833880,256.961
138417272,257.079
152259000,256.94
167484904,256.71
184233400,257.043
202656744,257.171
222922424,257.172
245214672,257.048
269736144,257.142
296709760,257.235
326380744,257.213
359018824,257.176
394920712,262.018
434412784,262.098
477854064,262.974
525639472,262.742
578203424,262.129
636023768,262.19
699626152,263.287
769588768,262.582
846547648,262.131
931202416,264.177
