Size,GB/s
10000,41.0206
11008,45.5055
12112,50.0464
13328,54.5471
14664,60.295
16136,65.6665
17752,73.4063
19528,80.5094
21488,87.6771
23640,97.6831
26008,106.931
28616,116.6
31480,127.858
34632,141.939
38096,157.563
41912,171.535
46104,187.344
50720,205.706
55800,228.182
61384,250.469
67528,275.278
74288,305.423
81720,331.123
89896,364.983
98888,401.476
108784,444.2
119664,486.097
131632,537.898
144800,567.765
159288,599.739
175224,625.059
192752,656.539
212032,685.585
233240,708.864
256568,740.311
282232,774.069
310456,795.765
341504,603.038
375656,297.111
413224,243.55
454552,242.635
500008,244.072
550016,243.128
605024,240.291
665528,240.782
732088,242.623
805304,244.914
885840,245.216
974432,245.75
1071880,246.336
1179072,247.526
1296984,248.773
1426688,249.377
1569360,249.938
1726304,249.664
1898936,249.809
2088832,250.355
2297720,251.709
2527496,252.292
2780248,252.857
3058280,253.202
3364112,253.678
3700528,254.169
4070584,254.361
4477648,254.173
4925416,254.518
5417960,254.632
5959760,255.106
6555744,255.228
7211320,255.319
7932456,255.18
8725704,255.76
9598280,255.484
10558112,255.717
11613928,255.377
12775328,255.684
14052864,255.985
15458152,255.768
17003968,256.097
18704368,256.166
20574808,256.101
22632296,256.16
24895528,256.307
27385088,256.252
30123600,256.03
33135968,256.361
36449568,256.365
40094528,256.181
44103984,256.526
48514384,256.445
53365824,256.179
58702408,256.172
64572656,256.227
71029928,255.978
78132928,255.399
85946224,256.633
94540848,256.475
103994936,256.529
114394432,256.757
125833880,256.763
138417272,256.869
152259000,256.715
167484904,256.583
184233400,256.816
202656744,256.902
222922424,256.932
245214672,256.885
269736144,256.902
296709760,256.92
326380744,256.939
359018824,256.95
394920712,262.95
434412784,262.917
477854064,263.419
525639472,264.701
578203424,263.457
636023768,262.847
699626152,262.815
769588768,263.106
846547648,263.077
931202416,263.027
