Size,MUPD/s
10000,3418.38
11008,3792.13
12112,4170.53
13328,4545.59
14664,5024.58
16136,5472.21
17752,6117.19
19528,6709.12
21488,7306.42
23640,8140.26
26008,8910.95
28616,9716.63
31480,10654.8
34632,11828.2
38096,13130.2
41912,14294.6
46104,15612.0
50720,17142.2
55800,19015.2
61384,20872.4
67528,22939.8
74288,25451.9
81720,27593.6
89896,30415.2
98888,33456.3
108784,37016.7
119664,40508.1
131632,44824.9
144800,47313.8
159288,49978.2
175224,52088.2
192752,54711.6
212032,57132.1
233240,59072.0
256568,61692.6
282232,64505.8
310456,66313.8
341504,50253.1
375656,24759.2
413224,20295.8
454552,20219.6
500008,20339.3
550016,20260.7
605024,20024.2
665528,20065.2
732088,20218.6
805304,20409.5
885840,20434.6
974432,20479.2
1071880,20528.0
1179072,20627.2
1296984,20731.1
1426688,20781.4
1569360,20828.1
1726304,20805.3
1898936,20817.4
2088832,20862.9
2297720,20975.8
2527496,21024.4
2780248,21071.4
3058280,21100.1
3364112,21139.8
3700528,21180.8
4070584,21196.8
4477648,21181.1
4925416,21209.8
5417960,21219.3
5959760,21258.8
6555744,21269.0
7211320,21276.5
7932456,21265.0
8725704,21313.3
9598280,21290.3
10558112,21309.8
11613928,21281.4
12775328,21307.0
14052864,21332.1
15458152,21314.0
17003968,21341.4
18704368,21347.2
20574808,21341.8
22632296,21346.6
24895528,21358.9
27385088,21354.3
30123600,21335.8
33135968,21363.4
36449568,21363.7
40094528,21348.4
44103984,21377.2
48514384,21370.4
53365824,21348.3
58702408,21347.6
64572656,21352.2
71029928,21331.5
78132928,21283.3
85946224,21386.1
94540848,21372.9
103994936,21377.4
114394432,21396.4
125833880,21397.0
138417272,21405.7
152259000,21393.0
167484904,21381.9
184233400,21401.3
202656744,21408.5
222922424,21411.0
245214672,21407.1
269736144,21408.5
296709760,21410.0
326380744,21411.6
359018824,21412.5
394920712,21912.5
434412784,21909.7
477854064,21951.6
525639472,22058.4
578203424,21954.8
636023768,21903.9
