Size,GB/s
10000,85.4506
11008,93.6944
12112,102.864
13328,114.068
14664,124.739
16136,137.32
17752,151.943
19528,167.354
21488,183.663
23640,200.829
26008,221.503
28616,243.158
31480,268.118
34632,294.284
38096,321.603
41912,356.262
46104,389.492
50720,432.211
55800,476.481
61384,527.394
67528,580.347
74288,634.309
81720,694.668
89896,742.025
98888,786.42
108784,832.853
119664,879.193
131632,927.668
144800,973.15
159288,1020.14
175224,452.798
192752,239.551
212032,245.324
233240,248.527
256568,249.832
282232,255.786
310456,243.912
341504,232.523
375656,232.794
413224,231.23
454552,232.466
500008,236.675
550016,240.797
605024,244.739
665528,247.269
732088,249.094
805304,240.896
885840,243.573
974432,244.736
1071880,246.738
1179072,244.362
1296984,244.99
1426688,246.434
1569360,247.237
1726304,247.731
1898936,250.141
2088832,250.849
2297720,249.857
2527496,251.359
2780248,250.775
3058280,250.162
3364112,250.43
3700528,253.003
4070584,252.384
4477648,250.424
4925416,251.657
5417960,252.09
5959760,249.883
6555744,252.206
7211320,251.37
7932456,251.909
8725704,251.195
9598280,251.405
10558112,251.261
11613928,251.809
12775328,252.347
14052864,252.055
15458152,252.488
17003968,252.504
18704368,250.84
20574808,251.437
22632296,252.139
24895528,251.376
27385088,252.515
30123600,251.692
33135968,251.344
36449568,251.514
40094528,252.319
44103984,252.322
48514384,252.07
53365824,251.287
58702408,250.213
64572656,251.49
71029928,251.92
78132928,252.075
85946224,251.537
94540848,252.23
103994936,252.057
114394432,251.837
125833880,252.397
138417272,251.519
152259000,252.204
167484904,252.763
184233400,252.273
202656744,251.263
222922424,252.362
245214672,251.805
269736144,261.69
296709760,262.695
326380744,262.362
359018824,262.654
394920712,262.938
434412784,262.547
477854064,262.457
525639472,262.813
578203424,262.773
636023768,262.771
699626152,7.0
769588768,7.0
846547648,7.0
931202416,7.0

