Size,MUPD/s
10000,3560.44
11008,3903.93
12112,4286.0
13328,4752.81
14664,5197.46
16136,5721.67
17752,6330.95
19528,6973.1
21488,7652.64
23640,8367.88
26008,9229.3
28616,10131.6
31480,11171.6
34632,12261.8
38096,13400.1
41912,14844.2
46104,16228.9
50720,18008.8
55800,19853.4
61384,21974.7
67528,24181.1
74288,26429.5
81720,28944.5
89896,30917.7
98888,32767.5
108784,34702.2
119664,36633.0
131632,38652.8
144800,40547.9
159288,42505.9
175224,18866.6
192752,9981.29
212032,10221.8
233240,10355.3
256568,10409.7
282232,10657.7
310456,10163.0
341504,9688.45
375656,9699.74
413224,9634.56
454552,9686.06
500008,9861.45
550016,10033.2
605024,10197.4
665528,10302.9
732088,10378.9
805304,10037.3
885840,10148.9
974432,10197.3
1071880,10280.7
1179072,10181.7
1296984,10207.9
1426688,10268.1
1569360,10301.6
1726304,10322.1
1898936,10422.5
2088832,10452.1
2297720,10410.7
2527496,10473.3
2780248,10448.9
3058280,10423.4
3364112,10434.6
3700528,10541.8
4070584,10516.0
4477648,10434.3
4925416,10485.7
5417960,10503.7
5959760,10411.8
6555744,10508.6
7211320,10473.7
7932456,10496.2
8725704,10466.5
9598280,10475.2
10558112,10469.2
11613928,10492.0
12775328,10514.5
14052864,10502.3
15458152,10520.4
17003968,10521.0
18704368,10451.7
20574808,10476.5
22632296,10505.8
24895528,10474.0
27385088,10521.4
30123600,10487.2
33135968,10472.7
36449568,10479.8
40094528,10513.3
44103984,10513.4
48514384,10502.9
53365824,10470.3
58702408,10425.5
64572656,10478.8
71029928,10496.7
78132928,10503.1
85946224,10480.7
94540848,10509.6
103994936,10502.4
114394432,10493.2
125833880,10516.6
138417272,10480.0
152259000,10508.5
167484904,10531.8
184233400,10511.4
202656744,10469.3
222922424,10515.1
245214672,10491.9
269736144,10903.7
296709760,10945.6
326380744,10931.8
359018824,10943.9
394920712,10955.7
434412784,10939.5
477854064,10935.7
525639472,10950.5
578203424,10948.9
636023768,10948.8
