Size,GB/s
8,56.4837
16,52.1189
24,56.4922
32,60.0463
40,60.3185
48,62.403
56,63.8385
64,64.7161
72,65.1728
80,65.4941
96,65.9726
112,66.8825
128,67.1294
144,68.1329
160,67.9797
184,68.7737
208,69.0939
232,69.1799
256,69.3853
288,61.8051
320,62.6668
360,63.5589
400,64.2831
448,65.0035
496,65.5921
552,66.1619
608,66.6337
672,67.0809
744,67.5051
824,67.889
912,68.2362
1008,68.5489
1112,68.8273
1224,69.0783
1352,69.3168
1488,69.5232
1640,69.7171
1808,69.8906
1992,70.0492
2192,70.1913
2416,70.3192
2664,70.4363
2936,58.8444
3232,50.986
3560,48.0146
3920,50.1251
4320,50.9197
4760,51.867
5240,51.6556
5768,51.4336
6352,49.3901
6992,49.8845
7696,46.3262
8472,50.4144
9320,50.338
10256,42.7749
11288,43.0695
12424,49.8926
13672,49.7804
15040,49.5829
16552,48.273
18208,45.5529
20032,45.9397
22040,42.6277
24248,42.8011
26680,36.9611
29352,34.4792
32288,30.4844
35520,30.1505
39080,29.0608
42992,28.6652
47296,27.7309
52032,27.5229
57240,27.5557
62968,27.5426
69272,27.5361
76200,27.5432
83824,27.5454
92208,27.534
101432,27.5352
111576,27.5466
122736,27.5258
135016,27.542
148520,27.5349
163376,27.5162
179720,27.481
197696,27.4185
217472,27.3399
239224,27.2282
263152,27.2246
289472,27.241
318424,27.2394
350272,27.2391
385304,27.2248
423840,27.2363
466232,27.2379
512856,27.2471
564144,27.2533
620560,27.2492
682624,27.2522
750888,27.2498
825984,27.249
908584,26.7725
999448,26.9677
1099400,25.7521
1209344,23.3674
1330280,22.8333
1463312,20.9852
1609648,18.635
1770616,17.3391
1947680,15.5691
2142456,14.3073
2356704,13.5665
2592376,13.1332
2851616,12.8759
3136784,12.598
3450464,12.4869
3795512,12.3955
4175064,12.3217
4592576,12.3359
5051840,12.3156
5557032,12.3196
6112736,12.3059
6724016,12.3004
7396424,12.3055
8136072,12.3176
8949680,12.3199
9844656,12.3205
10829128,12.7411
11912048,12.3084
13103256,12.2935
14413584,12.3256
15854944,12.3291
17440440,12.3217
19184488,12.3071
21102944,12.3182
23213240,12.317
25534568,12.3234
28088032,12.3167
30896840,12.3193
33986528,12.3184
37385184,12.3091
41123704,12.3002
45236080,12.2966
49759696,12.302
54735672,12.3016
60209240,12.3176
66230168,12.3191
72853192,12.3013
80138512,12.3095
88152368,12.3027
96967608,12.2984
