Size,GB/s
8,38.8831
16,256.801
24,103.646
32,256.975
40,149.152
48,248.366
56,154.476
64,243.128
72,187.151
80,257.186
96,256.961
112,245.581
128,256.308
144,245.353
160,255.12
184,212.07
208,239.091
232,217.217
256,256.278
288,239.575
320,239.07
360,224.197
400,239.028
448,255.475
496,244.936
552,232.347
608,242.274
672,242.462
744,248.262
824,235.269
912,238.992
1008,239.206
1112,233.971
1224,250.65
1352,238.121
1488,242.431
1640,230.381
1808,231.477
1992,239.882
2192,231.078
2416,231.647
2664,227.845
2936,245.327
3232,235.584
3560,230.834
3920,209.322
4320,233.867
4760,231.093
5240,223.82
5768,220.987
6352,211.918
6992,241.924
7696,237.512
8472,234.801
9320,247.525
10256,205.446
11288,228.465
12424,229.655
13672,235.842
15040,226.417
16552,211.259
18208,157.581
20032,125.221
22040,119.319
24248,119.51
26680,117.201
29352,116.52
32288,119.202
35520,118.812
39080,118.714
42992,118.005
47296,118.178
52032,119.057
57240,115.173
62968,114.126
69272,113.989
76200,169.597
83824,120.748
92208,119.374
101432,119.248
111576,116.032
122736,116.232
135016,115.697
148520,121.242
163376,120.108
179720,115.016
197696,117.12
217472,115.822
239224,116.118
263152,120.819
289472,115.49
318424,120.548
350272,119.413
385304,119.268
423840,119.366
466232,119.519
512856,119.701
564144,117.14
620560,118.017
682624,117.253
750888,121.014
825984,119.633
908584,119.281
999448,119.21
1099400,119.344
1209344,122.996
1330280,119.332
1463312,119.279
1609648,116.912
1770616,117.032
1947680,117.435
2142456,115.339
2356704,113.875
2592376,118.495
2851616,113.1
3136784,112.753
3450464,111.619
3795512,110.898
4175064,109.133
4592576,108.581
5051840,107.09
5557032,106.01
6112736,104.319
6724016,101.443
7396424,96.1949
8136072,90.7568
8949680,89.3394
9844656,88.7275
10829128,85.9773
11912048,87.3302
13103256,87.8837
14413584,88.4329
15854944,88.5282
17440440,88.5305
19184488,88.6452
21102944,88.4845
23213240,88.5365
25534568,88.4268
28088032,87.7256
30896840,88.135
33986528,87.5538
37385184,88.1964
41123704,88.136
45236080,85.682
49759696,88.2625
54735672,83.4933
60209240,81.4013
66230168,86.6978
72853192,83.6025
80138512,83.2485
88152368,85.6738
96967608,85.6836
