Size,GB/s
8,26.0627
16,40.858
24,47.5808
32,52.0015
40,54.6625
48,56.7025
56,58.4071
64,59.6579
72,60.8784
80,61.7324
96,63.2114
112,64.2074
128,64.9454
144,65.6244
160,66.1931
184,66.8765
208,67.3669
232,67.8026
256,63.1098
288,61.0671
320,61.6569
360,62.6275
400,63.432
448,64.2219
496,64.8741
552,65.5034
608,66.0253
672,66.5249
744,66.9946
824,67.4228
912,67.8091
1008,68.1569
1112,68.4726
1224,68.7536
1352,69.0186
1488,69.2507
1640,69.4674
1808,69.6635
1992,69.8409
2192,70.0006
2416,70.1463
2664,70.2486
2936,57.2444
3232,50.8507
3560,47.992
3920,50.1514
4320,50.8516
4760,51.7164
5240,50.8938
5768,51.1931
6352,50.724
6992,49.436
7696,46.215
8472,50.3369
9320,49.8762
10256,42.6869
11288,41.687
12424,49.1429
13672,48.2435
15040,46.9593
16552,45.6284
18208,44.7142
20032,44.54
22040,40.0835
24248,42.2683
26680,37.183
29352,35.3075
32288,33.3689
35520,30.6825
39080,29.243
42992,28.6161
47296,27.7209
52032,27.711
57240,27.5994
62968,27.6124
69272,27.5972
76200,27.5856
83824,27.6216
92208,27.6064
101432,27.5847
111576,27.5847
122736,27.5906
135016,27.5975
148520,27.57
163376,27.5661
179720,27.5217
197696,27.428
217472,27.3268
239224,27.2947
263152,27.3251
289472,27.3192
318424,27.3295
350272,27.3275
385304,27.3157
423840,27.3039
466232,27.3068
512856,27.3179
564144,27.3137
620560,27.3085
682624,27.3083
750888,27.3112
825984,27.3086
908584,27.3099
999448,27.1923
1099400,26.3558
1209344,24.3501
1330280,24.2234
1463312,20.5824
1609648,19.4539
1770616,16.9061
1947680,15.3498
2142456,14.3638
2356704,13.4893
2592376,13.0621
2851616,12.7524
3136784,12.5643
3450464,12.4437
3795512,12.3556
4175064,12.292
4592576,12.2995
5051840,12.2882
5557032,12.2902
6112736,12.2897
6724016,12.2831
7396424,12.2815
8136072,12.2941
8949680,12.2901
9844656,12.2914
10829128,12.282
11912048,12.3003
13103256,12.27
14413584,12.2857
15854944,12.2862
17440440,12.2739
19184488,12.2936
21102944,12.3069
23213240,12.2836
25534568,12.2878
28088032,12.2913
30896840,12.2877
33986528,12.2822
37385184,12.2964
41123704,12.2658
45236080,12.2603
49759696,12.291
54735672,12.3057
60209240,12.2931
66230168,12.2838
72853192,12.2915
80138512,12.2997
88152368,12.2791
96967608,12.2739
