MatrixSize,Bandwidth_GBps
200,22.292194
360,48.357036
520,73.954248
680,102.083443
840,121.144898
1000,147.490726
1160,125.846682
1320,132.719483
1480,149.788125
1640,153.651998
1800,158.021211
1960,169.249163
2120,169.441679
2280,182.68989
2440,182.584859
2600,182.832213
2760,191.176622
2920,191.060481
3080,168.752647
3240,194.524403
3400,196.899297
3560,198.856884
3720,196.147771
3880,166.478082
4040,191.767104
4200,186.57372
4360,183.29153
4520,182.769358
4680,183.941154
4840,184.897831
5000,181.913069
