MatrixSize,Bandwidth_GBps
100,7.627552
400,41.829793
700,78.878825
1000,109.077104
1300,101.970909
1600,126.064779
1900,140.669369
2500,173.577402
2800,186.570119
3400,204.686462
3700,209.045154
4000,215.783165
4300,203.215664
4600,203.187949
4900,201.651444
5200,192.007496
5500,187.590662
5800,180.541115
6100,181.15968
6400,194.159846
6700,177.352533
7000,176.067102
7300,176.538911
7600,171.860106
7900,161.801999
8200,165.599666
8500,160.412335
8800,176.868973
9100,157.235645
9400,158.142277
9700,150.797617
10000,165.119326
