MatrixSize,Bandwidth_GBps
100,3.236218
400,51.828141
700,160.004405
1000,299.715539
1300,205.063264
1600,227.049402
1900,221.304498
2500,178.410112
2800,204.954205
3400,197.181775
3700,202.881614
4000,213.400639
4300,205.729957
4600,203.854557
4900,200.774224
5200,191.173971
5500,200.477327
5800,210.285043
6100,236.085413
6400,233.629817
6700,214.916929
7000,205.005837
7300,177.788821
7600,188.084241
7900,182.529978
8200,189.499487
8500,181.558954
8800,197.43525
9100,169.68289
9400,171.127008
9700,169.171448
10000,180.796557
