MatrixSize,Bandwidth_GBps
100, 4.932134
400, 200.244364
700, 217.554332

1300, 198.311030
1600, 216.691910
1900, 208.999492
2200, 207.629455
2500, 209.127949
2800, 193.587131
3100, 196.532768
3400, 196.385902
3700, 195.085147
4000, 203.126933
4300, 193.955230
4600, 195.128943
4900, 194.016605
5200, 171.431396
5500, 188.345551
5800, 194.126755
6100, 189.171400
6400, 204.709511
6700, 195.220759
7000, 193.323403
7300, 185.071793
7600, 191.404166
7900, 189.278939
8200, 182.993829
8500, 181.950870
8800, 194.514321
9100, 165.689682
9400, 169.738756
9700, 171.476444
10000, 180.666825
