MatrixSize,Bandwidth_GBps
100, 9.207248
400, 27.555177
700, 44.885080
1300, 80.101280
1600, 102.041746
1900, 112.773679
2200, 130.765464
2500, 140.460924
2800, 147.230377
3100, 164.267999
3400, 166.853710
3700, 167.393144
4000, 173.376048
4300, 160.548970
4600, 165.976729
4900, 167.105840
5200, 171.467423
5500, 165.558988
5800, 171.347942
6100, 170.027232
6400, 185.134875
6700, 170.370648
7000, 165.901336
7300, 166.690846
7600, 170.482421
7900, 153.890453
8200, 166.185595
8500, 154.575999
8800, 175.977416
9100, 154.924875
9400, 158.105480
9700, 152.193673
10000, 166.208162
