N_elements, M Elements/s, GFlop/s, GB/s(Comp), GB/s(H->D), GB/s(D->H)
1000, 3.991251, 0.275396, 0.399125, 2.042437, 5.268357
1500, 5.549451, 0.382912, 0.554945, 5.092898, 0.458972
2250, 7.428072, 0.512537, 0.742807, 5.669093, 0.699240
3375, 10.202570, 0.703977, 1.020257, 0.562628, 1.029218
5062, 12.104141, 0.835186, 1.210414, 0.842726, 1.402350
7593, 13.954155, 0.962837, 1.395416, 1.088871, 1.787811
11389, 16.030211, 1.106085, 1.603021, 1.553022, 2.407886
17083, 18.496583, 1.276264, 1.849658, 2.164391, 3.090539
25624, 19.921322, 1.374571, 1.992132, 2.742515, 4.009427
38436, 22.287334, 1.537826, 2.228733, 3.616031, 4.518983
57654, 24.819741, 1.712562, 2.481974, 4.227108, 5.328804
86481, 28.175324, 1.944097, 2.817532, 4.708520, 5.421135
129721, 30.774468, 2.123438, 3.077447, 4.644934, 4.938501
194581, 31.315809, 2.160791, 3.131581, 4.514509, 4.867624
291871, 31.147465, 2.149175, 3.114747, 4.190338, 4.681405
437806, 30.775538, 2.123512, 3.077554, 4.329287, 4.633334
656709, 31.215737, 2.153886, 3.121574, 4.448391, 4.614990
985063, 38.589087, 2.662647, 3.858909, 4.974966, 5.515655
1477594, 42.193213, 2.911332, 4.219321, 5.656206, 5.642948
2216391, 42.359145, 2.922781, 4.235914, 5.678483, 5.672070
3324586, 40.562588, 2.798819, 4.056259, 5.691609, 5.751264
4986879, 16.633016, 1.147678, 1.663302, 5.728321, 5.745217
7480318, 22.301790, 1.538823, 2.230179, 2.849460, 5.766200
11220477, 41.743129, 2.880276, 4.174313, 5.706072, 5.727917
16830716, 42.629126, 2.941410, 4.262913, 5.752279, 5.734741
25246074, 42.092067, 2.904353, 4.209207, 5.802028, 5.785157
37869112, 42.037586, 2.900593, 4.203759, 4.501854, 5.731548
