N_elements, M Elements/s, GFlop/s, GB/s(Comp), GB/s(H->D), GB/s(D->H)
1000, 1.012360, 0.069853, 0.101236, 0.681805, 1.097074
1500, 52.533884, 3.624838, 5.253388, 1.051115, 1.527519
2250, 79.863699, 5.510595, 7.986370, 1.354198, 1.819859
3375, 117.171226, 8.084815, 11.717123, 1.634954, 2.168043
5062, 166.842452, 11.512129, 16.684245, 1.914423, 2.351667
7593, 248.486435, 17.145564, 24.848644, 2.040413, 2.497800
11389, 373.091791, 25.743334, 37.309179, 2.116740, 2.655901
17083, 514.207453, 35.480314, 51.420745, 2.078990, 2.773629
25624, 796.642313, 54.968320, 79.664231, 2.319555, 3.055637
38436, 1052.406769, 72.616067, 105.240677, 2.555731, 2.987543
57654, 1135.345897, 78.338867, 113.534590, 2.769456, 3.224384
86481, 1203.498567, 83.041401, 120.349857, 2.904806, 3.354683
129721, 1373.639290, 94.781111, 137.363929, 3.093438, 3.416302
194581, 1359.138057, 93.780526, 135.913806, 3.098506, 3.344506
291871, 1405.794239, 96.999803, 140.579424, 3.124702, 3.057162
437806, 1626.745439, 112.245435, 162.674544, 3.132914, 3.036655
656709, 1594.069957, 109.990827, 159.406996, 3.646680, 3.796474
985063, 1543.809251, 106.522838, 154.380925, 3.279105, 1.948309
1477594, 1637.809432, 113.008851, 163.780943, 3.444099, 3.778351
2216391, 1644.994081, 113.504592, 164.499408, 3.517229, 3.818956
3324586, 1676.821823, 115.700706, 167.682182, 3.504709, 3.829310
4986879, 1700.889006, 117.361341, 170.088901, 3.522132, 3.801412
7480318, 1691.403828, 116.706864, 169.140383, 2.476009, 3.826465
11220477, 1670.663283, 115.275767, 167.066328, 3.065545, 3.410682
16830716, 1724.306140, 118.977124, 172.430614, 3.509652, 2.781231
25246074, 1716.229147, 118.419811, 171.622915, 3.509569, 2.782221
37869112, 1864.478803, 128.649037, 186.447880, 2.870449, 3.833111
