N_elements, M Elements/s, GFlop/s, GB/s(Comp), GB/s(H->D), GB/s(D->H)
1000, 0.988672, 0.068218, 0.197734, 1.039861, 1.593189
1500, 46.625843, 3.217183, 9.325169, 1.558194, 1.975309
2250, 69.599109, 4.802339, 13.919822, 1.805980, 2.222754
3375, 101.293556, 6.989255, 20.258711, 1.882962, 2.473504
5062, 157.856987, 10.892132, 31.571397, 2.165909, 2.612182
7593, 204.778985, 14.129750, 40.955797, 2.088563, 2.662116
11389, 282.766840, 19.510912, 56.553368, 2.316924, 2.983366
17083, 386.887102, 26.695210, 77.377420, 2.520117, 3.016062
25624, 522.427010, 36.047464, 104.485402, 2.724416, 3.195884
38436, 625.402714, 43.152787, 125.080543, 2.982377, 3.332591
57654, 724.078167, 49.961394, 144.815633, 2.993665, 3.401808
86481, 704.093596, 48.582458, 140.818719, 3.054969, 3.067849
129721, 758.349556, 52.326119, 151.669911, 3.100081, 3.289576
194581, 795.289107, 54.874948, 159.057821, 3.183365, 3.045593
291871, 795.059193, 54.859084, 159.011839, 3.480722, 3.642533
437806, 853.279957, 58.876317, 170.655991, 3.560101, 3.723574
656709, 841.202338, 58.042961, 168.240468, 3.524457, 3.814883
985063, 853.493555, 58.891055, 170.698711, 3.453193, 3.821857
1477594, 876.519723, 60.479861, 175.303945, 3.518659, 3.805046
2216391, 777.957842, 53.679091, 155.591568, 3.503520, 3.545201
3324586, 787.201190, 54.316882, 157.440238, 3.471101, 2.570233
4986879, 792.435372, 54.678041, 158.487074, 3.204173, 2.488193
7480318, 794.256411, 54.803692, 158.851282, 3.506192, 2.696990
11220477, 795.044589, 54.858077, 159.008918, 2.821201, 3.827775
16830716, 797.317527, 55.014909, 159.463505, 3.043547, 3.684657
25246074, 797.337848, 55.016312, 159.467570, 3.070453, 3.838168
37869112, 799.228788, 55.146786, 159.845758, 2.960773, 3.485627
